index,acceleration_x,acceleration_y,acceleration_z,temperature_c,humidity_percent,wind_speed_mps,fft_peak_freq,fft_magnitude,degradation_score,forecast_score_next_30d,structural_condition,damage_class,bridge_id,sensor_id
1/1/2020 0:00,-0.42890208,0.009163016,-0.448429584,24.26320467,82.57347635,9.129823961,3.264360224,1.393159023,75.15589789,83.16475327,3,Severe,B001,S4
1/1/2020 0:10,-0.410345885,0.010256671,-0.432856991,23.61201705,82.04566736,9.23900026,3.343776988,1.342710947,72.51055816,79.99538469,3,Severe,B001,S4
1/1/2020 0:15,0.086893134,-0.005482015,0.42297318,19.34383843,83.54511193,6.676184594,1.290251096,0.190975976,10.84452141,16.16865266,0,No Damage,B003,S3
1/1/2020 0:20,-0.391789691,0.011350327,-0.417284399,22.96082943,81.51785837,9.34817656,3.423193753,1.292262871,69.86521844,76.82601611,3,Severe,B001,S4
1/1/2020 0:25,-0.083389815,-0.47082705,-0.128277692,18.46200111,55.76939728,2.94814237,3.696584709,0.998888685,44.73082325,48.89280488,0,No Damage,B003,S3
1/1/2020 0:30,-0.373233496,0.012443982,-0.401711806,22.30964182,80.99004937,9.45735286,3.502610518,1.241814795,67.21987871,73.65664753,3,Severe,B001,S4
1/1/2020 0:35,-0.165037853,-0.699236425,-0.400875114,18.20239183,42.00136484,1.197533098,4.897333409,1.398025943,61.28722276,64.87427733,2,Moderate,B003,S3
1/1/2020 0:40,-0.354677302,0.013537637,-0.386139214,21.6584542,80.46224038,9.56652916,3.582027282,1.191366719,64.57453898,70.48727895,3,Severe,B001,S4
1/1/2020 0:45,-0.242926499,-0.046838367,-0.359685418,19.90827791,81.78719983,0.003721756,2.347589644,0.659238648,26.57385612,29.03016343,1,Minor,B002,S3
1/1/2020 0:45,-0.15805098,-0.690710141,-0.394819088,18.56501059,42.2410146,1.424356778,4.892497197,1.38838775,60.51371994,64.11307002,2,Moderate,B003,S3
1/1/2020 0:50,-0.336121107,0.014631292,-0.370566622,21.00726659,79.93443138,9.675705459,3.661444047,1.140918643,61.92919925,67.31791037,3,Severe,B001,S4
1/1/2020 0:55,-0.236814055,-0.040897444,-0.35439037,19.98971411,81.93038365,0.246364899,2.310696887,0.654898752,27.10200336,29.57569067,1,Minor,B002,S3
1/1/2020 0:55,-0.151064107,-0.682183856,-0.388763061,18.92762934,42.48066436,1.651180458,4.887660984,1.378749557,59.74021712,63.3518627,2,Moderate,B003,S3
1/1/2020 1:00,-0.317564913,0.015724947,-0.354994029,20.35607897,79.40662239,9.784881759,3.740860811,1.090470568,59.28385953,64.14854179,3,Severe,B001,S4
1/1/2020 1:00,0.175637732,0.000791672,-0.242574132,30.99528642,89.3941473,1.032234812,0.928626097,0.733459547,38.94214537,34.53445117,1,Minor,B001,S2
1/1/2020 1:05,-0.230701611,-0.034956522,-0.349095323,20.0711503,82.07356747,0.489008042,2.27380413,0.650558855,27.6301506,30.1212179,1,Minor,B002,S3
1/1/2020 1:05,-0.144077234,-0.673657572,-0.382707034,19.2902481,42.72031413,1.878004138,4.882824772,1.369111364,58.9667143,62.59065539,2,Moderate,B003,S3
1/1/2020 1:10,-0.299008718,0.016818603,-0.339421437,19.70489135,78.8788134,9.894058059,3.820277576,1.040022492,56.6385198,60.97917321,3,Severe,B001,S4
1/1/2020 1:10,0.164935901,-0.015860007,-0.231427164,30.966771,87.93149284,1.109616728,0.946995551,0.735793928,39.81314555,35.74245076,1,Minor,B001,S2
1/1/2020 1:15,-0.224589167,-0.0290156,-0.343800275,20.1525865,82.21675129,0.731651185,2.236911373,0.646218959,28.15829784,30.66674513,1,Minor,B002,S3
1/1/2020 1:15,-0.259787757,0.364798913,-0.047853745,27.3914123,80.90537453,5.584153902,1.51621047,1.309007098,11.47856066,8.58999122,0,No Damage,B002,S1
1/1/2020 1:15,-0.137090361,-0.665131288,-0.376651008,19.65286686,42.95996389,2.104827817,4.877988559,1.359473171,58.19321148,61.82944807,2,Moderate,B003,S3
1/1/2020 1:20,0.15423407,-0.032511686,-0.220280196,30.93825557,86.46883838,1.186998645,0.965365006,0.738128308,40.68414573,36.95045035,1,Minor,B001,S2
1/1/2020 1:20,-0.280452524,0.017912258,-0.323848845,19.05370374,78.3510044,10.00323436,3.899694341,0.989574416,53.99318007,57.80980463,3,Severe,B001,S4
1/1/2020 1:25,-0.136525809,0.082083028,0.092571993,26.68879895,50.2500608,3.153261386,2.53787565,1.187399644,33.67624572,33.53854922,0,No Damage,B002,S1
1/1/2020 1:25,-0.218476722,-0.023074677,-0.338505227,20.2340227,82.35993511,0.974294328,2.200018615,0.641879063,28.68644507,31.21227236,1,Minor,B002,S3
1/1/2020 1:25,-0.130103488,-0.656605004,-0.370594981,20.01548562,43.19961365,2.331651497,4.873152347,1.349834978,57.41970866,61.06824076,2,Moderate,B003,S3
1/1/2020 1:30,0.143532238,-0.049163364,-0.209133228,30.90974015,85.00618392,1.264380561,0.983734461,0.740462689,41.55514592,38.15844994,1,Minor,B001,S2
1/1/2020 1:30,-0.261896329,0.019005913,-0.308276252,18.40251612,77.82319541,10.11241066,3.979111105,0.93912634,51.34784035,54.64043605,3,Severe,B001,S4
1/1/2020 1:35,-0.212364278,-0.017133755,-0.333210179,20.31545889,82.50311893,1.216937471,2.163125858,0.637539167,29.21459231,31.7577996,1,Minor,B002,S3
